Colegiado;Componente
46641;14
46641;1929
46641;316
46641;304
46641;3162
46641;2846
27301;21089
124623;26392
102145;38378
32529;45013
9972;2981
9972;1929
9972;14
9972;17125
9972;244
9972;36670
9972;2846
9972;2852
9972;1927
9972;3162
54888;92748
47027;2981
122507;2837
122507;304
122507;2981
122508;304
122508;2837
122508;244
122508;2981
122582;470
102146;91849
3171;42671
3171;3433
1932;41066
1932;36670
102146;1836
103583;100914
1932;42670
2259;304
44370;2207
44370;173
44370;44337
44368;173
44368;44335
44396;1929
44396;2981
46705;36688
46705;38160
110105;173
72824;1929
72824;93
72824;2981
46767;303
46767;1930
46767;1934
3896;1799
3896;46753
3896;46751
3896;46754
3896;17125
76709;76709
122583;470
122721;91842
122721;48387
25276;1988
25276;2981
25276;1929
25276;1927
25276;3162
25276;2837
46785;263
46785;316
46785;1929
46785;14
46785;304
46785;3162
46785;2981
46785;2837
46785;89
24393;9154
19770;244
71666;2844
71666;1929
71666;2
1557;263
1557;1988
84231;1023
9154;17125
46873;185
46901;14
46901;304
46901;1929
46901;3162
46901;185
46901;316
46901;2846
46901;36687
28034;36687
12099;244
43589;2835
43573;2819
43591;3681
1992;91842
33400;42670
33400;2837
9154;2034
47073;333
47072;333
1023;73212
1023;68487
47074;333
1023;1801
47075;333
1023;1408
47076;333
122721;13421
47077;333
84254;94
47078;333
84254;17125
47079;333
84254;1945
47080;333
84254;3162
1932;42672
8370;1977
1932;1945
47204;58
47204;68
47204;63
122755;1929
47204;955
47204;51
47204;345
47204;55
4246;14
4246;3162
4246;244
1702;1988
84254;36670
47084;333
84254;1927
47083;333
84254;2981
47082;333
84254;2844
47085;333
84254;1750
47086;333
84255;14
47087;333
84255;1988
47088;333
84255;1926
47089;333
84255;41066
47090;333
84255;244
47091;333
84255;1929
47092;333
84255;42670
47093;333
1414;41066
2766;316
2766;3162
3783;766
3783;8
3783;1
3783;284
3783;1926
3783;3786
3786;250
3785;250
3785;3791
3785;3790
3785;3789
4678;1988
1702;1
1702;250
122755;2852
84255;316
84255;1930
42816;2837
4678;4691
4678;4897
4678;4940
84255;304
84255;42672
84255;3159
84255;263
84255;2852
47636;3138
